Module,Python File,Python Lines,Rust File,Rust Lines,Status,Notes
# ═══════════════════════════════════════════════════════════════
# ENTRY POINT
# ═══════════════════════════════════════════════════════════════
entry,main.py,62,crates/vsg_ui/src/main.rs,16,needs_update,Needs CXX-Qt rewrite (currently GTK4)

# ═══════════════════════════════════════════════════════════════
# MODELS — Foundation types everything depends on
# ═══════════════════════════════════════════════════════════════
models,vsg_core/models/settings.py,414,crates/vsg_core/src/config/settings.rs,463,partial,Missing ~50+ fields (OCR/stepping/neural/multi-corr/source-sep)
models,vsg_core/models/enums.py,—,crates/vsg_core/src/models/enums.rs,277,partial,Python uses Literal types in types.py instead; Rust has enums but missing some variants
models,vsg_core/models/types.py,141,crates/vsg_core/src/models/enums.rs,—,partial,Python Literal types → Rust enums; needs audit for missing variants
models,vsg_core/models/jobs.py,118,crates/vsg_core/src/models/jobs.rs,287,partial,Core structs present; needs field-by-field comparison
models,vsg_core/models/media.py,27,crates/vsg_core/src/models/media.rs,157,complete,Rust is more detailed
models,vsg_core/models/context_types.py,286,crates/vsg_core/src/orchestrator/types.rs,259,partial,Some TypedDicts missing (DriftFlags/SyncStability/etc)
models,vsg_core/models/converters.py,98,,0,not_started,Model conversion utilities

# ═══════════════════════════════════════════════════════════════
# CONFIG — Settings persistence
# ═══════════════════════════════════════════════════════════════
config,vsg_core/config.py,575,crates/vsg_core/src/config/manager.rs,390,partial,Missing migration/legacy keys/full defaults/path resolution

# ═══════════════════════════════════════════════════════════════
# ANALYSIS — Audio correlation & sync detection
# ═══════════════════════════════════════════════════════════════
analysis,vsg_core/analysis/types.py,162,crates/vsg_core/src/analysis/types.rs,375,partial,Rust has more but needs comparison for missing Python types
analysis,vsg_core/analysis/correlation/dense.py,513,,0,not_started,Dense GPU sliding window — core analysis engine
analysis,vsg_core/analysis/correlation/gpu_backend.py,160,,0,not_started,GPU init & device management (tch-rs needed)
analysis,vsg_core/analysis/correlation/gpu_correlation.py,213,,0,not_started,GPU peak extraction
analysis,vsg_core/analysis/correlation/decode.py,199,crates/vsg_core/src/analysis/ffmpeg.rs,517,partial,Rust uses ffmpeg CLI; Python uses librosa/torchaudio
analysis,vsg_core/analysis/correlation/confidence.py,68,,0,not_started,Confidence scoring
analysis,vsg_core/analysis/correlation/filtering.py,90,crates/vsg_core/src/analysis/filtering.rs,332,partial,Rust has filtering but needs comparison
analysis,vsg_core/analysis/correlation/registry.py,68,,0,not_started,Method registry system
analysis,vsg_core/analysis/correlation/run.py,32,,0,not_started,Method resolution entry point
analysis,vsg_core/analysis/correlation/methods/scc.py,52,crates/vsg_core/src/analysis/methods/scc.rs,328,partial,Core present; Rust is CPU-only
analysis,vsg_core/analysis/correlation/methods/gcc_phat.py,53,crates/vsg_core/src/analysis/methods/gcc_phat.rs,291,partial,Core present; Rust is CPU-only
analysis,vsg_core/analysis/correlation/methods/gcc_scot.py,61,crates/vsg_core/src/analysis/methods/gcc_scot.rs,230,partial,Core present; Rust is CPU-only
analysis,vsg_core/analysis/correlation/methods/gcc_whiten.py,64,crates/vsg_core/src/analysis/methods/whitened.rs,283,partial,Core present; Rust is CPU-only
analysis,vsg_core/analysis/correlation/methods/onset.py,80,,0,not_started,Onset detection correlation
analysis,vsg_core/analysis/correlation/methods/spectrogram.py,87,,0,not_started,Spectrogram-based correlation
analysis,vsg_core/analysis/delay_selection.py,367,crates/vsg_core/src/analysis/delay_selection/,770,partial,5 modes implemented; need field-by-field param comparison
analysis,vsg_core/analysis/container_delays.py,192,,0,not_started,MKV container delay calculations
analysis,vsg_core/analysis/drift_detection.py,613,,0,not_started,PAL/frame drift diagnosis
analysis,vsg_core/analysis/global_shift.py,152,,0,not_started,Global shift calculation
analysis,vsg_core/analysis/sync_stability.py,310,,0,not_started,Outlier detection & stability analysis
analysis,vsg_core/analysis/track_selection.py,196,crates/vsg_core/src/analysis/tracks.rs,222,partial,Basic track handling; needs comparison
analysis,vsg_core/analysis/source_separation.py,1559,,0,not_started,Demucs source separation wrapper
analysis,vsg_core/analysis/videodiff.py,641,,0,not_started,VideoDiff external tool wrapper
analysis,—,—,crates/vsg_core/src/analysis/analyzer.rs,876,rust_only,Main analyzer orchestrator (no direct Python equivalent — logic spread across steps)
analysis,—,—,crates/vsg_core/src/analysis/peak_fit.rs,192,rust_only,Quadratic peak interpolation

